*--------------------------*malloc()*--------------------------*
Power   Buffer size (bytes)      Allocation (ns)     Freeing (ns)        
1       1                        730                 292                 
2       2                        205                 136                 
3       4                        76                  80                  
4       8                        72                  80                  
5       16                       145                 112                 
6       32                       224                 84                  
7       64                       136                 80                  
8       128                      188                 85                  
9       256                      140                 80                  
10      512                      208                 80                  
11      1024                     273                 80                  
12      2048                     4089                517                 
13      4096                     176                 153                 
14      8192                     3753                136                 
15      16384                    3973                96                  
16      32768                    3749                100                 
17      65536                    3841                100                 
18      131072                   9005                12168               
19      262144                   5986                5509                
20      524288                   5757                5289                
21      1048576                  5597                5317                
22      2097152                  7625                8596                
23      4194304                  7979                6519                
24      8388608                  7044                6338                
25      16777216                 6945                6286                
26      33554432                 6924                6499                
27      67108864                 7008                6732                
28      134217728                6980                7438                
29      268435456                6980                8989                
30      536870912                8223                14029               
31      1073741824               11591               29393               
32      2147483648               14683               29701               
33      4294967296               9117                19261               

MEAN                             4527                5465                
